image,r,seed,wmax,n_cand,tpr,fpr,it,t_amf,t_solve,psnr,snr,mae,psnr_n,converged,gap,psnr_noisy,psnr_med3,psnr_med7,psnr_amf,snr_amf
woman_blonde.tif,0.3,2026,7,79579,0.998205787290357,0.00617788382963423,110,1.1763047999993432,3.4873584999877494,30.97500588318814,25.863890871416018,1.8865693985729806,25.810039954262976,True,0.005612212015336127,10.789926628219932,23.28218112324553,25.398368272759093,29.345117025137167,24.23400201336505
woman_blonde.tif,0.3,7,7,79162,0.9984507042253521,0.006427810740909782,73,1.1441986999998335,2.374937400018098,31.00411899625395,25.89300398448183,1.8705861565515356,25.8093940053269,True,0.00912600458572399,10.819331036507382,23.346226212851946,25.396041446222558,29.462367263573856,24.35125225180174
woman_blonde.tif,0.3,42,7,79699,0.9984615775822611,0.00636540012643603,75,1.1878003000165336,2.5231092000030912,30.981893099688133,25.870778087916015,1.8874200850194809,25.871638095875515,True,0.006879982245351357,10.787563012552626,23.15062747649622,25.388305919974442,29.299455346796947,24.18834033502483
woman_blonde.tif,0.5,2026,9,131619,0.9986249150121084,0.006842269682954519,203,2.015454700012924,12.278827000001911,29.199925919185716,24.0888109074136,3.171001827496487,26.219041978027136,True,0.009793135231717542,8.567302802272325,15.332756444024106,24.718785539295563,27.2316443385844,22.12052932681228
woman_blonde.tif,0.5,7,9,131818,0.9989008724325067,0.007237037771388916,80,2.0432883000175934,4.597909800009802,29.19517244504055,24.084057433268427,3.175192288681755,26.214892373089477,True,0.009520097343127532,8.56749537256453,15.37876299160832,24.749815277432656,27.284923157365988,22.17380814559387
woman_blonde.tif,0.5,42,9,132052,0.9987510376287992,0.006932395765659036,124,2.0259850000147708,7.285544700018363,29.242819532207285,24.131704520435168,3.178260185042956,26.299484825072184,True,0.0069451038386034725,8.551759255255059,15.292346171714753,24.711216688181274,27.1624409723955,22.051325960623384
woman_darkhair.tif,0.3,2026,7,78622,1.0,0.00019612329617886445,52,0.7590717999846675,1.694929699995555,45.0788412765521,38.83191409168656,0.5271979354288607,39.84888292986093,True,0.0073053562255438464,10.279294759410849,24.42181388135897,34.596203079094686,39.778818545694165,33.53189136082863
woman_darkhair.tif,0.3,7,7,78137,1.0,0.0002010388820064767,70,0.75730869997642,2.344640099996468,44.958242828367204,38.71131564350166,0.5280676074537434,39.701410937469895,True,0.004651537032685837,10.299032654965988,24.26572843145284,34.515787596002475,39.539271970472,33.29234478560647
woman_darkhair.tif,0.3,42,7,78692,0.9999872857651426,0.00022344298389030584,49,1.1593833999941126,1.6517952000140212,44.66791563964071,38.42098845477517,0.5293509645296759,39.8482547645994,True,0.007341450699229313,10.2480613505508,23.98107713810031,34.41130830232136,39.5923046437708,33.345377458905276
woman_darkhair.tif,0.5,2026,9,130926,1.0,0.00019048634974817705,64,1.3937858999997843,3.655266199988546,41.651107999187104,35.40418081432157,0.9803110637115042,38.63596777652074,True,0.009267195160759911,8.065437021746328,15.165633636138535,32.45235511621817,36.058498001755204,29.81157081688967
woman_darkhair.tif,0.5,7,9,131034,1.0,0.00016014519831313725,72,1.3800227000028826,4.124760100006824,41.61860589445526,35.37167870958973,0.9800314752003236,38.60704666176469,True,0.0062257377473713404,8.052608506667335,15.128257307822048,32.48168876145177,35.82472035545521,29.57779317058968
