image,r,seed,potential,alpha,beta,wmax,edge_frac,it,t,psnr,snr,mae,ssim,edge_psnr,psnr_n,converged
cameraman.tif,0.3,2026,huber,30.0,40.0,7,0.3208160400390625,108,3.731472699990263,38.707752791820454,33.09131460638352,0.8111803449940423,0.9873757911618735,33.947905921132524,34.04887370215158,True
cameraman.tif,0.3,7,sqrt,300.0,40.0,7,0.3208160400390625,78,2.2766472000221256,39.20319136208375,33.58675317664681,0.7633999554879136,0.9879389295688344,34.462191632529525,34.51598423515144,True
cameraman.tif,0.3,7,power,1.4,5.0,7,0.3208160400390625,1500,93.08197090000613,39.19523892747149,33.57880074203456,0.7586946610651746,0.9876758900836196,34.463675750403034,34.508031800539186,False
cameraman.tif,0.3,7,logcosh,0.1,640.0,7,0.3208160400390625,777,45.7777395999874,39.090417269267974,33.47397908383104,0.7566785387051844,0.9878700590006468,34.344208944459595,34.403210142335666,True
cameraman.tif,0.3,7,log1,3.0,640.0,7,0.3208160400390625,437,21.444474699994316,39.25713557169491,33.64069738625797,0.7441253554704148,0.9877343345412928,34.52429633193674,34.5699284447626,True
cameraman.tif,0.3,7,huber,30.0,40.0,7,0.3208160400390625,88,3.037475400022231,38.905130185881795,33.288692000444854,0.7949111676706418,0.987590494952529,34.15286134173091,34.21792305894948,True
cameraman.tif,0.5,2026,sqrt,300.0,640.0,9,0.3208160400390625,111,5.397124400013126,35.21098186855123,29.594543683114296,1.4483992842357867,0.9745926495852429,30.413956357006768,32.306860147115785,True
cameraman.tif,0.5,2026,power,1.6,80.0,9,0.3208160400390625,1500,145.33842630000436,35.230131910856414,29.61369372541948,1.4645596322335424,0.9740995684490515,30.438225003093518,32.32601018942096,False
cameraman.tif,0.5,2026,logcosh,0.1,640.0,9,0.3208160400390625,657,61.97038600000087,35.015274135488276,29.398835950051335,1.4405757446412455,0.9742249752011989,30.212496572077825,32.111152414052825,True
cameraman.tif,0.5,2026,log1,3.0,640.0,9,0.3208160400390625,547,45.196630799997365,35.11694643259463,29.500508247157697,1.425512455979212,0.9734900683113081,30.323112940127675,32.212824711159186,True
cameraman.tif,0.5,2026,huber,30.0,640.0,9,0.3208160400390625,1139,68.84632780001266,34.99087363134177,29.374435445904833,1.5003094865327717,0.974078553390066,30.186723192089456,32.08675190990632,True
cameraman.tif,0.5,7,sqrt,300.0,640.0,9,0.3208160400390625,103,5.045918200019514,35.169412751045236,29.5529745656083,1.4398247787763145,0.974956025077333,30.371854052633584,32.266745806302126,True
cameraman.tif,0.5,7,power,1.6,80.0,9,0.3208160400390625,1500,143.4415641000087,35.22061772711899,29.604179541682054,1.456348066933294,0.9744998860109648,30.429778155367053,32.31795078237588,False
cameraman.tif,0.5,7,logcosh,0.1,640.0,9,0.3208160400390625,721,67.7720320999797,35.01272061463766,29.39628242920072,1.4292247926673032,0.9746826536012778,30.21068655742624,32.11005366989455,True
cameraman.tif,0.5,7,log1,3.0,640.0,9,0.3208160400390625,604,49.225743199989665,35.135823740040955,29.519385554604018,1.4117392014967411,0.9740604981016672,30.34423206568935,32.233156795297845,True
cameraman.tif,0.5,7,huber,30.0,640.0,9,0.3208160400390625,796,47.29497980000451,34.96131153612643,29.344873350689493,1.4903525859974147,0.9744074697653182,30.15696229373105,32.05864459138332,True
peppers_gray.tif,0.3,2026,sqrt,300.0,40.0,7,0.3039894104003906,85,2.761107300000731,35.63023879813303,29.687659420634212,1.8610655627660235,0.9176064291099808,33.01420955076946,31.246555575481253,True
peppers_gray.tif,0.3,2026,power,1.4,5.0,7,0.3039894104003906,1500,100.05056099998183,35.520093082291936,29.577513704793116,1.8208356253533096,0.9155167162178623,32.93719060369439,31.136409859640153,False
peppers_gray.tif,0.3,2026,logcosh,0.1,640.0,7,0.3039894104003906,425,26.0967533000221,35.627587740648174,29.685008363149358,1.850856775850349,0.9173836600289833,33.02288949121309,31.243904517996395,True
peppers_gray.tif,0.3,2026,log1,3.0,640.0,7,0.3039894104003906,636,34.508110900002066,35.57839615423754,29.635816776738725,1.8223946992263473,0.9159629386408443,33.02008371545608,31.194712931585762,True
peppers_gray.tif,0.3,2026,huber,30.0,40.0,7,0.3039894104003906,107,4.092881399992621,35.52598234141951,29.58340296392069,1.884810312991543,0.917400283154159,32.81943836011046,31.142299118767728,True
peppers_gray.tif,0.3,7,sqrt,300.0,40.0,7,0.3039894104003906,78,2.403039400000125,35.533268763117455,29.590689385618646,1.8662719621905073,0.917152502078088,32.8545662806965,31.142852502933252,True
peppers_gray.tif,0.3,7,power,1.4,5.0,7,0.3039894104003906,1500,98.30080210001324,35.436350811253924,29.493771433755107,1.8241800188941975,0.9152687346341208,32.78943072519747,31.04593455106972,False
peppers_gray.tif,0.3,7,logcosh,0.1,640.0,7,0.3039894104003906,551,34.08707909999066,35.52292466545706,29.58034528795825,1.8563110767963913,0.9169275011706639,32.848255522933684,31.132508405272855,True
peppers_gray.tif,0.3,7,log1,3.0,640.0,7,0.3039894104003906,533,28.99793280000449,35.48349795747133,29.540918579972516,1.8261765884001477,0.9156515628524562,32.85467812351219,31.093081697287126,True
peppers_gray.tif,0.3,7,huber,30.0,40.0,7,0.3039894104003906,77,2.8749475000076927,35.43738250935489,29.49480313185608,1.8907112313269863,0.9169486774363738,32.67834119716154,31.046966249170687,True
peppers_gray.tif,0.5,2026,sqrt,300.0,640.0,9,0.3039894104003906,84,4.0359020000032615,33.914611441195305,27.97203206369649,2.5741084350997205,0.89499203064131,30.662298808684657,31.068718763818733,True
peppers_gray.tif,0.5,2026,power,1.6,80.0,9,0.3039894104003906,1500,145.0255830999813,33.81929998645537,27.876720608956553,2.5509511327755803,0.8944119337198772,30.530271418547173,30.973407309078794,False
peppers_gray.tif,0.5,2026,logcosh,0.1,640.0,9,0.3039894104003906,562,50.687539799982915,33.91776955522863,27.97519017772981,2.5529288871072886,0.8951435118008999,30.667278516414314,31.07187687785206,True
peppers_gray.tif,0.5,2026,log1,3.0,640.0,9,0.3039894104003906,601,46.98907780001173,33.89468108635829,27.952101708859473,2.5009610697120603,0.8941287566966909,30.67152735663988,31.048788408981718,True
peppers_gray.tif,0.5,2026,huber,30.0,640.0,9,0.3039894104003906,612,35.591056299977936,33.768909996828164,27.826330619329347,2.6186507928540865,0.8941472330099316,30.44037340994485,30.923017319451596,True
peppers_gray.tif,0.5,7,sqrt,300.0,640.0,9,0.3039894104003906,106,5.265144400007557,33.91247443582235,27.969895058323537,2.5762739778939476,0.8952805344881514,30.662381035720205,31.073276259029964,True
peppers_gray.tif,0.5,7,power,1.6,80.0,9,0.3039894104003906,1500,138.88463559999946,33.82406252900984,27.881483151511016,2.551869321370309,0.8948515992561924,30.53738138045224,30.984864352217443,False
peppers_gray.tif,0.5,7,logcosh,0.1,640.0,9,0.3039894104003906,365,31.161819000000833,33.920892161001454,27.978312783502645,2.5535355195314686,0.8954753358863754,30.673913686668012,31.08169398420907,True
peppers_gray.tif,0.5,7,log1,3.0,640.0,9,0.3039894104003906,643,48.84854200002155,33.90319804004969,27.960618662550875,2.498568973304076,0.8946680651872099,30.68156277247283,31.0639998632573,True
peppers_gray.tif,0.5,7,huber,30.0,640.0,9,0.3039894104003906,558,31.238500800012844,33.771361112995216,27.828781735496406,2.6215271367556348,0.8944026666320856,30.448890003257617,30.932162936202833,True
